permit_id,city,permit_date,units,permit_type,work_kind,is_residential,status,lng,lat,address,source_url
BP-2024-05525,pittsburgh,2024-11-19,0,BUILDING,NEW CONSTRUCTION,false,Issued,-79.976702153,40.4558327029,"319 27TH ST, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
SP-2019-10871,pittsburgh,2020-02-11,0,Sign Permit,NEW,false,Completed,-79.9148997702,40.4316587536,"2435 BEECHWOOD BLVD, Pittsburgh, 15217-",https://data.wprdc.org/dataset/pli-permits
MP-2022-06572,pittsburgh,2022-06-01,0,MECHANICAL,NEW CONSTRUCTION,false,Issued,-79.9588034513,40.4547512417,"3446 MILWAUKEE ST, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
FAS-2020-05922,pittsburgh,2020-07-02,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.9261975894,40.4641197705,"5809 HARVARD ST #303, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
MP-2023-18008,pittsburgh,2024-01-03,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9059928624,40.4618991147,"975 WASHINGTON BLVD #308, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
SP-2020-04766,pittsburgh,2020-10-01,0,Sign Permit,NEW,false,Issued,-80.0002083743,40.4426125081,"643 LIBERTY AVE #1800, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
MP-2023-10994,pittsburgh,2023-06-29,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.994065651,40.4214219772,"745 MANTON Way, Pittsburgh, 15210-",https://data.wprdc.org/dataset/pli-permits
BP-2022-05489,pittsburgh,2022-06-28,0,BUILDING,NEW CONSTRUCTION,false,Completed,-79.9188369644,40.4170787472,"1614 PARKVIEW BLVD, Pittsburgh, PA 15217-",https://data.wprdc.org/dataset/pli-permits
EP-2021-19683,pittsburgh,2022-01-27,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9385861354,40.4672761476,"5249 BROWN Way, Pittsburgh, PA 15224-",https://data.wprdc.org/dataset/pli-permits
SP-2020-16447,pittsburgh,2020-12-03,0,Sign Permit,NEW,false,Issued,-79.9203659474,40.4382763699,"5869 FORBES AVE, Pittsburgh, PA 15217-",https://data.wprdc.org/dataset/pli-permits
BP-2021-03292,pittsburgh,2021-09-14,0,BUILDING,NEW CONSTRUCTION,false,Completed,-80.0033887722,40.4537750878,"745 UNION PL, Pittsburgh, PA 15212-",https://data.wprdc.org/dataset/pli-permits
EP-2023-03948,pittsburgh,2023-03-14,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-80.0794308566,40.4498994083,"104 CEDARWOOD PL, Pittsburgh, PA 15205-",https://data.wprdc.org/dataset/pli-permits
MP-2019-06283,pittsburgh,2020-02-03,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9484456346,40.4159064666,"4339 LYTLE ST, Pittsburgh, PA 15207-",https://data.wprdc.org/dataset/pli-permits
SP-2023-18812,pittsburgh,2024-04-23,0,Sign Permit,NEW,false,Completed,-79.9148674995,40.4661749672,"6223 MEADOW ST, Pittsburgh, 15206-",https://data.wprdc.org/dataset/pli-permits
OLP-2022-02501,pittsburgh,2022-03-07,0,Occupant Load Placard Permit,NEW,false,Completed,-80.0056689847,40.4469552209,"115 FEDERAL ST, Pittsburgh, PA 15212-",https://data.wprdc.org/dataset/pli-permits
FAS-2022-08640,pittsburgh,2022-09-06,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.9408760308,40.4645056534,"5152 PENN AVE, Pittsburgh, 15224-",https://data.wprdc.org/dataset/pli-permits
MP-2024-12306,pittsburgh,2024-10-09,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9940011363,40.4224404312,"45 ALLEN ST, Pittsburgh, PA 15210-",https://data.wprdc.org/dataset/pli-permits
MP-2022-09102,pittsburgh,2022-07-12,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9175417656,40.4365406211,"6400 DARLINGTON RD, Pittsburgh, PA 15217-",https://data.wprdc.org/dataset/pli-permits
MP-2024-00133,pittsburgh,2024-01-16,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9228708507,40.4731203303,"937 N SAINT CLAIR ST, Pittsburgh, 15206-",https://data.wprdc.org/dataset/pli-permits
SSP-2022-05930,pittsburgh,2022-09-02,0,Suppression System Permit,NEW SYSTEM,false,Completed,-79.9231444019,40.4351891868,"1926 MURRAY AVE, Pittsburgh, PA 15217-",https://data.wprdc.org/dataset/pli-permits
FAS-2020-02799,pittsburgh,2020-05-05,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.8987403929,40.4487432754,"7301 PENN AVE, Pittsburgh, 15208-",https://data.wprdc.org/dataset/pli-permits
FAS-2021-03334,pittsburgh,2021-11-09,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-80.018863621,40.4902215459,"3917 PERRYSVILLE AVE #203, Pittsburgh, PA 15214-",https://data.wprdc.org/dataset/pli-permits
SSP-2024-01650,pittsburgh,2024-07-15,0,Suppression System Permit,NEW SYSTEM,false,Issued,-79.9598453087,40.4424544322,"200 LOTHROP ST, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
BP-2021-14640,pittsburgh,2023-03-06,0,BUILDING,NEW CONSTRUCTION,true,Completed,-79.9358350233,40.4668914917,"5368 ROSETTA ST, Pittsburgh, 15224-",https://data.wprdc.org/dataset/pli-permits
MP-2020-20342,pittsburgh,2021-03-11,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9617216464,40.4310612357,"350 TECHNOLOGY DR #611, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
MP-2020-08404,pittsburgh,2020-06-22,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-80.0250943216,40.4579063858,"1247 COLUMBUS AVE, Pittsburgh, 15233-",https://data.wprdc.org/dataset/pli-permits
EP-2023-02447,pittsburgh,2023-04-21,0,ELECTRICAL,NEW CONSTRUCTION,false,Completed,-79.9480295193,40.4150172885,"4501 LYTLE ST, Pittsburgh, PA 15207-",https://data.wprdc.org/dataset/pli-permits
OLP-2023-07533,pittsburgh,2023-06-21,0,Occupant Load Placard Permit,NEW,false,Completed,-79.9872587236,40.4496848497,"1644 SMALLMAN ST, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
MP-2019-11186,pittsburgh,2022-01-20,0,MECHANICAL,NEW CONSTRUCTION,false,Completed,-79.9653329962,40.4695679428,"129 39TH ST, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
EP-2023-05386,pittsburgh,2023-04-03,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-80.0082627878,40.469193318,"2492 PERRYSVILLE AVE, Pittsburgh, 15214-",https://data.wprdc.org/dataset/pli-permits
FAS-2019-05025,pittsburgh,2020-01-03,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-80.0014129584,40.4396046613,"405 WOOD ST, Pittsburgh, PA 15222-",https://data.wprdc.org/dataset/pli-permits
OLP-2023-16532,pittsburgh,2023-10-09,0,Occupant Load Placard Permit,NEW,false,Completed,-79.9101418123,40.457874818,"6615 HAMILTON AVE, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
EP-2020-05106,pittsburgh,2020-08-06,0,ELECTRICAL,NEW CONSTRUCTION,false,Completed,-79.9674064613,40.4622244447,"3350 PENN AVE #312, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
FAS-2024-09559,pittsburgh,2024-08-21,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.9224135538,40.4377352706,"5810 FORBES AVE, Pittsburgh, 15217-",https://data.wprdc.org/dataset/pli-permits
MP-2024-12003,pittsburgh,2024-09-26,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9964579707,40.423479067,"622 EUREKA ST, Pittsburgh, PA 15210-",https://data.wprdc.org/dataset/pli-permits
EP-2020-09205,pittsburgh,2020-06-23,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9498131933,40.4842742345,"5531 BERLIN Way, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
FAS-2024-02534,pittsburgh,2024-04-02,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.9892847679,40.4304141161,"315 S 9TH ST, Pittsburgh, 15203-",https://data.wprdc.org/dataset/pli-permits
SP-2023-19684,pittsburgh,2023-12-11,0,Sign Permit,NEW,false,Completed,-80.0180759156,40.3927335197,"927 BROOKLINE BLVD, Pittsburgh, 15226-",https://data.wprdc.org/dataset/pli-permits
FAS-2021-01163,pittsburgh,2021-08-02,0,Fire Alarm Permit,NEW SYSTEM,false,Completed,-79.9487923455,40.4268405862,"300 SALINE ST, Pittsburgh, 15207-",https://data.wprdc.org/dataset/pli-permits
BP-2020-03875,pittsburgh,2020-08-12,0,BUILDING,NEW CONSTRUCTION,true,Issued,-80.0257573428,40.4362627543,"418 CLARENCE ST, Pittsburgh, PA 15211-",https://data.wprdc.org/dataset/pli-permits
OOP-2022-13085,pittsburgh,2022-09-14,0,Occupancy Only Permit,NEW USE,true,Completed,-80.0576620401,40.4389960618,"1542 CUMBERLAND ST, Pittsburgh, 15205-",https://data.wprdc.org/dataset/pli-permits
EP-2021-15577,pittsburgh,2022-03-07,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-80.0147368862,40.4285585216,"484 GRACE ST, Pittsburgh, PA 15211-",https://data.wprdc.org/dataset/pli-permits
MP-2020-02183,pittsburgh,2020-02-12,0,MECHANICAL,NEW CONSTRUCTION,true,Expired,-79.9614124269,40.4705585163,"182 42ND ST, Pittsburgh, 15201-",https://data.wprdc.org/dataset/pli-permits
BP-2022-14869,pittsburgh,2023-02-01,0,BUILDING,NEW CONSTRUCTION,false,Completed,-79.9892990452,40.4380964887,"1045 FORBES AVE #1125, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
MP-2024-13080,pittsburgh,2024-11-05,0,MECHANICAL,NEW CONSTRUCTION,true,Completed,-79.9833621168,40.4469378987,"843 LEDLIE ST, Pittsburgh, PA 15219-",https://data.wprdc.org/dataset/pli-permits
SP-2022-15919,pittsburgh,2023-10-17,0,Sign Permit,NEW,false,Completed,-80.0158687946,40.4038783944,"1900 PIONEER AVE, Pittsburgh, PA 15226-",https://data.wprdc.org/dataset/pli-permits
BP-2021-13567,pittsburgh,2021-08-31,0,BUILDING,NEW CONSTRUCTION,false,Completed,-79.9512931072,40.4413602585,"261 SCHENLEY DR, Pittsburgh, PA 15213-",https://data.wprdc.org/dataset/pli-permits
OLP-2023-11612,pittsburgh,2023-07-27,0,Occupant Load Placard Permit,NEW,false,Completed,-80.0093046886,40.4460312776,"271 NORTH SHORE DR #700, Pittsburgh, PA 15212-",https://data.wprdc.org/dataset/pli-permits
SSP-2024-13113,pittsburgh,2024-11-04,0,Suppression System Permit,NEW SYSTEM,false,Completed,-79.9211060768,40.4587972853,"163 SHADY AVE #114, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
OOP-2021-20519,pittsburgh,2022-11-08,0,Occupancy Only Permit,NEW USE,true,Completed,-79.9177835755,40.4694976912,"817 COLLINS AVE, Pittsburgh, 15206-",https://data.wprdc.org/dataset/pli-permits
BP-2021-10092,pittsburgh,2021-08-17,0,BUILDING,NEW CONSTRUCTION,true,Completed,-79.9269911855,40.4653155721,"318 N SAINT CLAIR ST, Pittsburgh, PA 15206-",https://data.wprdc.org/dataset/pli-permits
OOP-2019-10719,pittsburgh,2020-01-23,0,Occupancy Only Permit,NEW USE,false,Expired,-80.0163485252,40.4522462763,"858 WESTERN AVE, Pittsburgh, 15233-",https://data.wprdc.org/dataset/pli-permits
OLP-2023-13148,pittsburgh,2024-05-02,0,Occupant Load Placard Permit,NEW,false,Completed,-79.8945807439,40.4498933423,"7511 THOMAS BLVD, Pittsburgh, PA 15208-",https://data.wprdc.org/dataset/pli-permits
EP-2021-10585,pittsburgh,2021-06-30,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-80.0685643254,40.4533572809,"1413 SWANTEK ST, Pittsburgh, 15204-",https://data.wprdc.org/dataset/pli-permits
OLP-2024-09983,pittsburgh,2024-07-09,0,Occupant Load Placard Permit,NEW,false,Revoked,-79.9662077416,40.4645889728,"3519 BUTLER ST, Pittsburgh, PA 15201-",https://data.wprdc.org/dataset/pli-permits
EP-2022-01903,pittsburgh,2022-03-07,0,ELECTRICAL,NEW CONSTRUCTION,true,Completed,-79.9449405791,40.4800323317,"5507 MCCANDLESS AVE, Pittsburgh, 15201-",https://data.wprdc.org/dataset/pli-permits
OOP-2022-09883,pittsburgh,2022-10-13,0,Occupancy Only Permit,NEW USE,false,Completed,-79.9241306167,40.4285929393,"2715 MURRAY AVE #624, Pittsburgh, PA 15217-",https://data.wprdc.org/dataset/pli-permits
